Entity,Code,Year,4_0_RichestShare
Estonia,EST,2014,26.27465046287829
Estonia,EST,2015,24.4185102494435
Estonia,EST,2016,23.11425731646816
Estonia,EST,2017,22.48676870585603
Estonia,EST,2018,22.44059196068198
Estonia,EST,2019,23.30927499080618
Finland,FIN,1987,19.1962451032955
Finland,FIN,1991,19.62491432671208
Finland,FIN,1995,20.54394745409158
Finland,FIN,2000,22.74558670783787
Finland,FIN,2003,23.02255449577379
Finland,FIN,2004,23.237911920606948
Finland,FIN,2005,22.97534762154366
Finland,FIN,2006,22.98359623053059
Finland,FIN,2007,23.29383232064904
Finland,FIN,2008,22.955377898890163
Finland,FIN,2009,22.582355610659942
Finland,FIN,2010,22.5459147880156
Finland,FIN,2011,22.759823585667572
Finland,FIN,2012,22.286679449850443
Finland,FIN,2013,22.25097653694341
Finland,FIN,2014,22.01603060521715
Finland,FIN,2015,22.40037113360183
Finland,FIN,2016,22.433068386133
Finland,FIN,2017,22.64917063774256
Finland,FIN,2018,22.594693929292532
Finland,FIN,2019,22.966486599865547
France,FRA,1978,27.15486800494262
France,FRA,1984,28.886884059169198
France,FRA,1989,24.729252808462558
France,FRA,1994,25.60320769852329
France,FRA,2000,24.35883386348728
France,FRA,2003,25.168819640510133
France,FRA,2004,24.4992449369451
France,FRA,2005,23.93492659045274
France,FRA,2006,23.50885841541102
France,FRA,2007,26.246457500186597
France,FRA,2008,26.686758338552142
France,FRA,2009,26.107156611037507
France,FRA,2010,27.134892054248027
France,FRA,2011,26.93661000536834
France,FRA,2012,26.878587789470544
France,FRA,2013,26.39112199448691
France,FRA,2014,26.078388924169737
France,FRA,2015,26.636388222367703
France,FRA,2016,25.93054872238821
France,FRA,2017,25.80017061359388
France,FRA,2018,26.696358227159838
Germany,DEU,1991,23.1015658029396
Germany,DEU,1992,23.26779053259335
Germany,DEU,1993,22.94940956123559
Germany,DEU,1994,23.041983524757658
Germany,DEU,1995,22.99034626888836
Germany,DEU,1996,22.59438236148024
Germany,DEU,1997,22.41595850400723
Germany,DEU,1998,22.333317759730782
Germany,DEU,1999,23.18625037878766
Germany,DEU,2000,23.0478692787597
Germany,DEU,2001,23.947555978871378
Germany,DEU,2002,23.74613677762999
Germany,DEU,2003,23.96743524798422
Germany,DEU,2004,24.05902432587855
Germany,DEU,2005,25.294614908305018
Germany,DEU,2006,24.85428615976153
Germany,DEU,2007,25.210391340604687
Germany,DEU,2008,24.65018091219588
Germany,DEU,2009,24.02194393073345
Germany,DEU,2010,24.06612968517124
Germany,DEU,2011,24.63883005328164
Germany,DEU,2012,24.40782507919822
Germany,DEU,2013,24.913096921641937
Germany,DEU,2014,24.11844362879031
Germany,DEU,2015,24.82756833586463
Germany,DEU,2016,24.692373867829907
Germany,DEU,2017,24.557855250905742
Germany,DEU,2018,25.14413503923838
Greece,GRC,1995,27.32148180003204
Greece,GRC,2000,25.667716225460158
Greece,GRC,2003,24.583341420566292
Greece,GRC,2004,25.493936672272998
