Entity,Code,Year,2_1_GDPPC_Growth
abc,DEU,1986,574.258
abc,DEU,1987,326.641
abc,DEU,1988,876.289
abc,DEU,1989,848.586
abc,DEU,1990,1229.61
abc,DEU,1991,1281.22
abc,DEU,1992,354.141
abc,DEU,1993,-505.93
abc,DEU,1994,623.738
abc,DEU,1995,389.281
abc,DEU,1996,162.707
abc,DEU,1997,522.43
abc,DEU,1998,645.777
abc,DEU,1999,600.324
abc,DEU,2000,930.676
abc,DEU,2001,520.996
abc,DEU,2002,-128.012
abc,DEU,2003,-263.395
abc,DEU,2004,414.418
abc,DEU,2005,276.387
abc,DEU,2006,1388.98
abc,DEU,2007,1142.91
abc,DEU,2008,435.953
abc,DEU,2009,-2087.92
abc,DEU,2010,1570.52
abc,DEU,2011,2216.43
abc,DEU,2012,92.0156
abc,DEU,2013,65.6602
abc,DEU,2014,716.145
abc,DEU,2015,252.098
abc,DEU,2016,578.773
abc,DEU,2017,957.523
abc,DEU,2018,333.734
abc,DEU,2019,355.762
abc,DEU,2020,-2013.74
abc,GRC,1961,619.274
abc,GRC,1962,-13.0718
abc,GRC,1963,644.349
abc,GRC,1964,566.175
abc,GRC,1965,701.938
abc,GRC,1966,431.198
abc,GRC,1967,384.058
abc,GRC,1968,544.422
abc,GRC,1969,993.963
abc,GRC,1970,823.761
abc,GRC,1971,791.03
abc,GRC,1972,1088.02
abc,GRC,1973,958.374
abc,GRC,1974,-919.938
abc,GRC,1975,679.385
abc,GRC,1976,693.509
abc,GRC,1977,225.719
abc,GRC,1978,835.386
abc,GRC,1979,301.937
abc,GRC,1980,-47.2021
abc,GRC,1981,-372.97
abc,GRC,1982,-260.343
abc,GRC,1983,-242.898
abc,GRC,1984,217.383
abc,GRC,1985,309.962
abc,GRC,1986,27.832
abc,GRC,1987,-388.079
abc,GRC,1988,571.763
abc,GRC,1989,495.338
abc,GRC,1990,-165.105
abc,GRC,1991,290.309
abc,GRC,1992,-10.4863
abc,GRC,1993,-344.114
abc,GRC,1994,230.464
abc,GRC,1995,254.812
abc,GRC,1996,384.295
abc,GRC,1997,648.362
abc,GRC,1998,563.84
abc,GRC,1999,469.828
abc,GRC,2000,629.664
abc,GRC,2001,669.588
abc,GRC,2002,684.168
abc,GRC,2003,1108.29
abc,GRC,2004,1013.33
abc,GRC,2005,67.3652
abc,GRC,2006,1183.74
abc,GRC,2007,703.646
abc,GRC,2008,-144.291
abc,GRC,2009,-1089.26
abc,GRC,2010,-1279.09
abc,GRC,2011,-2159.54
abc,GRC,2012,-1277.14
abc,GRC,2013,-327.414
abc,GRC,2014,204.16
abc,GRC,2015,83.459
abc,GRC,2016,-13.0957
abc,GRC,2017,233.527
abc,GRC,2018,343.188
abc,GRC,2019,356.332
abc,GRC,2020,-1680.01
abc,HUN,1992,-229.76
abc,HUN,1993,-34.064
abc,HUN,1994,226.315
abc,HUN,1995,123.212
abc,HUN,1996,19.5381
abc,HUN,1997,257.954
abc,HUN,1998,329.519
abc,HUN,1999,278.657
abc,HUN,2000,406.855
abc,HUN,2001,386.905
abc,HUN,2002,471.61
abc,HUN,2003,430.814
abc,HUN,2004,536.92
abc,HUN,2005,486.168
abc,HUN,2006,463.701
abc,HUN,2007,50.7979
abc,HUN,2008,139.62
abc,HUN,2009,-770.02
abc,HUN,2010,146.493
abc,HUN,2011,243.15
abc,HUN,2012,-86.2695
abc,HUN,2013,239.398
abc,HUN,2014,527.51
abc,HUN,2015,483.4
abc,HUN,2016,317.253
abc,HUN,2017,592.724
abc,HUN,2018,748.756
abc,HUN,2019,661.654
abc,HUN,2020,-672.405
abc,IRL,1971,272.37
abc,IRL,1972,604.521
abc,IRL,1973,393.952
abc,IRL,1974,338.48
abc,IRL,1975,535.866
abc,IRL,1976,-17.5469
abc,IRL,1977,955.604
abc,IRL,1978,857.222
abc,IRL,1979,272.707
abc,IRL,1980,308.361
abc,IRL,1981,351.008
abc,IRL,1982,223.121
abc,IRL,1983,-162.404
abc,IRL,1984,628.818
abc,IRL,1985,513.451
abc,IRL,1986,-85.6816
abc,IRL,1987,837.744
abc,IRL,1988,1068.21
abc,IRL,1989,1241.4
abc,IRL,1990,1771.71
abc,IRL,1991,308.428
abc,IRL,1992,613.541
abc,IRL,1993,520.035
abc,IRL,1994,1301.22
abc,IRL,1995,2329.2
abc,IRL,1996,1827.47
abc,IRL,1997,2954.94
abc,IRL,1998,2500.77
abc,IRL,1999,3275.45
abc,IRL,2000,3065.61
abc,IRL,2001,1515.56
abc,IRL,2002,1780.19
