Entity,Code,Year,2_1_GDPPC_Growth
abc,IRN,2005,90.4224
abc,IRN,2006,177.043
abc,IRN,2007,335.358
abc,IRN,2008,-43.1846
abc,IRN,2009,-5.43701
abc,IRN,2010,234.317
abc,IRN,2011,77.0942
abc,IRN,2012,-462.666
abc,IRN,2013,-70.4116
abc,IRN,2014,159.691
abc,IRN,2015,-131.489
abc,IRN,2016,582.081
abc,IRN,2017,127.709
abc,IRN,2018,-410.948
abc,IRN,2019,-418.142
abc,IRN,2020,98.5732
abc,ISR,1996,828.309
abc,ISR,1997,353.875
abc,ISR,1998,485.578
abc,ISR,1999,259.488
abc,ISR,2000,1640.71
abc,ISR,2001,-640.984
abc,ISR,2002,-614.383
abc,ISR,2003,-181.596
abc,ISR,2004,840.305
abc,ISR,2005,658.371
abc,ISR,2006,1130.29
abc,ISR,2007,1267.66
abc,ISR,2008,510.887
abc,ISR,2009,-395.176
abc,ISR,2010,1181.4
abc,ISR,2011,1173.42
abc,ISR,2012,317.293
abc,ISR,2013,965.516
abc,ISR,2014,749.945
abc,ISR,2015,97.5508
abc,ISR,2016,871.883
abc,ISR,2017,870.406
abc,ISR,2018,750.727
abc,ISR,2019,693.777
abc,ISR,2020,-1506.78
abc,JOR,1977,148.608
abc,JOR,1978,332.51
abc,JOR,1979,552.787
abc,JOR,1980,286.805
abc,JOR,1981,524.489
abc,JOR,1982,132.098
abc,JOR,1983,-288.45
abc,JOR,1984,2.52832
abc,JOR,1985,-289.093
abc,JOR,1986,60.3853
abc,JOR,1987,-61.7241
abc,JOR,1988,-99.4021
abc,JOR,1989,-579.191
abc,JOR,1990,-168.789
abc,JOR,1991,-118.698
abc,JOR,1992,254.023
abc,JOR,1993,-36.6165
abc,JOR,1994,0.0617676
abc,JOR,1995,69.3718
abc,JOR,1996,-34.8601
abc,JOR,1997,28.5571
abc,JOR,1998,34.9473
abc,JOR,1999,54.699
abc,JOR,2000,84.0581
abc,JOR,2001,120.426
abc,JOR,2002,140.571
abc,JOR,2003,74.2104
abc,JOR,2004,224.504
abc,JOR,2005,193.651
abc,JOR,2006,174.403
abc,JOR,2007,163.244
abc,JOR,2008,107.914
abc,JOR,2009,-5.14355
abc,JOR,2010,-137.436
abc,JOR,2011,-122.761
abc,JOR,2012,-134.663
abc,JOR,2013,-112.197
abc,JOR,2014,-53.4585
abc,JOR,2015,-56.9805
abc,JOR,2016,-44.8569
abc,JOR,2017,-13.5308
abc,JOR,2018,4.03125
abc,JOR,2019,23.7974
abc,JOR,2020,-104.587
abc,KAZ,1991,-674.134
abc,KAZ,1992,-269.57
abc,KAZ,1993,-433.811
abc,KAZ,1994,-504.518
abc,KAZ,1995,-248.292
abc,KAZ,1996,75.3296
abc,KAZ,1997,125.255
abc,KAZ,1998,-7.40039
abc,KAZ,1999,143.515
abc,KAZ,2000,408.999
abc,KAZ,2001,608.861
abc,KAZ,2002,495.192
abc,KAZ,2003,495.822
abc,KAZ,2004,534.557
abc,KAZ,2005,574.458
abc,KAZ,2006,682.285
abc,KAZ,2007,600.476
abc,KAZ,2008,116.719
abc,KAZ,2009,-67.2783
abc,KAZ,2010,491.787
abc,KAZ,2011,527.402
abc,KAZ,2012,316.96
abc,KAZ,2013,440.604
abc,KAZ,2014,274.747
abc,KAZ,2015,-28.2734
abc,KAZ,2016,-34.4238
abc,KAZ,2017,282.173
abc,KAZ,2018,294.842
abc,KAZ,2019,349.397
abc,KAZ,2020,-427.796
abc,KWT,1996,-239.684
abc,KWT,1997,-869.98
abc,KWT,1998,-1068.63
abc,KWT,1999,-2555.19
abc,KWT,2000,-27.2598
abc,KWT,2001,-765.953
abc,KWT,2002,405.359
abc,KWT,2003,4731.27
abc,KWT,2004,2846.31
abc,KWT,2005,2681.04
abc,KWT,2006,1127.08
abc,KWT,2007,193.996
abc,KWT,2008,-1393.39
abc,KWT,2009,-4976.98
abc,KWT,2010,-2764.93
abc,KWT,2011,1131.54
abc,KWT,2012,288.32
abc,KWT,2013,-1319.11
abc,KWT,2014,-1278.97
abc,KWT,2015,-987.607
abc,KWT,2016,-68.3145
abc,KWT,2017,-2099.05
abc,KWT,2018,-205.342
abc,KWT,2019,-340.371
abc,KWT,2020,-2727.25
abc,KGZ,1987,13.8434
abc,KGZ,1988,116.315
abc,KGZ,1989,7.651
abc,KGZ,1990,42.8058
abc,KGZ,1991,-113.574
abc,KGZ,1992,-161.593
abc,KGZ,1993,-143.737
abc,KGZ,1994,-157.362
abc,KGZ,1995,-39.9115
abc,KGZ,1996,32.3677
abc,KGZ,1997,51.5802
abc,KGZ,1998,3.80731
abc,KGZ,1999,14.3571
abc,KGZ,2000,28.9199
abc,KGZ,2001,31.0825
abc,KGZ,2002,-6.97614
abc,KGZ,2003,43.9081
abc,KGZ,2004,45.1325
abc,KGZ,2005,-10.7683
abc,KGZ,2006,16.4178
abc,KGZ,2007,62.8917
abc,KGZ,2008,66.3898
abc,KGZ,2009,15.9619
abc,KGZ,2010,-16.2264
abc,KGZ,2011,45.1648
abc,KGZ,2012,-17.5781
abc,KGZ,2013,86.8108
abc,KGZ,2014,21.1571
abc,KGZ,2015,19.3776
abc,KGZ,2016,25.0204
abc,KGZ,2017,31.3354
abc,KGZ,2018,20.172
abc,KGZ,2019,29.2137
abc,KGZ,2020,-126.786
abc,LBN,1989,-2198.54
abc,LBN,1990,663.45
abc,LBN,1991,1534.94
abc,LBN,1992,537.422
abc,LBN,1993,278.583
abc,LBN,1994,183.219
abc,LBN,1995,162.573
abc,LBN,1996,545.578
abc,LBN,1997,-17.9248
abc,LBN,1998,181.307
abc,LBN,1999,-136.486
abc,LBN,2000,-79.2285
abc,LBN,2001,-1.13818
abc,LBN,2002,-87.8096
abc,LBN,2003,-107.739
abc,LBN,2004,160.274
abc,LBN,2005,-9.48633
abc,LBN,2006,16.5801
abc,LBN,2007,612.086
abc,LBN,2008,667.427
abc,LBN,2009,728.17
abc,LBN,2010,428.586
abc,LBN,2011,-361.763
abc,LBN,2012,-322.325
abc,LBN,2013,-234.913
abc,LBN,2014,-266.328
abc,LBN,2015,-286.251
abc,LBN,2016,-89.3169
abc,LBN,2017,-58.4092
abc,LBN,2018,-171.06
abc,LBN,2019,-522.03
abc,LBN,2020,-1440.77
abc,OMN,1966,61.7446
abc,OMN,1967,1612.21
abc,OMN,1968,3241.01
abc,OMN,1969,1633.7
abc,OMN,1970,933.616
abc,OMN,1971,-249.542
abc,OMN,1972,581.945
abc,OMN,1973,-1814.71
abc,OMN,1974,587.431
abc,OMN,1975,1716.41
abc,OMN,1976,1589.43
abc,OMN,1977,-522.244
abc,OMN,1978,-1051.88
abc,OMN,1979,-142.619
abc,OMN,1980,31.4482
abc,OMN,1981,1151.24
abc,OMN,1982,661.811
abc,OMN,1983,1330.82
abc,OMN,1984,1530.12
abc,OMN,1985,1371.1
abc,OMN,1986,-352.729
abc,OMN,1987,-1141.74
abc,OMN,1988,350.02
abc,OMN,1989,1207.64
abc,OMN,1990,-682.101
abc,OMN,1991,243.341
abc,OMN,1992,578.49
abc,OMN,1993,254.582
abc,OMN,1994,32.1426
abc,OMN,1995,404.104
abc,OMN,1996,275.039
