1989,181,1,181,4,AFG,
1990,586,586,586,3,AFG,
1991,451,451,951,3,AFG,
1992,3890,3873,5047,3,AFG,
1993,3160,3160,7234,3,AFG,
1994,669,669,907,3,AFG,
1995,207,207,207,3,AFG,
2002,30,30,30,3,AFG,
2003,32,32,45,4,AFG,
2006,40,40,60,3,AFG,
2008,97,92,117,4,AFG: PAK,
2009,54,54,70,4,AFG,
2010,98,97,101,4,AFG,
2011,49,48,52,4,AFG,
2013,35,35,35,4,AFG,
1989,3393,474,14991,4,AFG,
1990,178,89,220,3,AFG,
1991,2441,2346,2441,3,AFG,
1989,30,30,30,4,AFG,
1989,25,25,104,4,AFG,
1990,25,25,25,3,AFG,
1991,25,25,25,3,AFG,
1992,351,351,378,3,AFG,
1993,476,468,486,3,AFG,
1994,191,191,946,3,AFG,
1995,168,168,168,3,AFG,
1990,108,108,213,3,AFG,
1993,85,85,85,3,AFG,
1994,8077,8077,10102,3,AFG,
1995,871,871,1181,3,AFG,
1995,4270,4270,4934,3,AFG: PAK,
1996,1922,1912,2183,3,AFG,
2003,628,614,939,4,AFG,
2004,711,669,1245,4,AFG: PAK,
2005,1628,1424,1992,4,AFG: PAK,
2006,4694,4625,5483,4,AFG: PAK,
2007,6843,6298,8381,4,AFG: PAK,
2008,5558,5112,7072,4,AFG: PAK,
2009,6327,5596,7984,4,AFG: PAK,
2010,6931,6759,8350,4,AFG: PAK,
2011,7374,7231,8238,4,AFG: PAK,
2012,7730,7558,8541,4,AFG: PAK,
2013,8013,7577,10137,4,AFG: PAK,
2014,12345,11555,15718,4,AFG: PAK,
2015,16581,15562,19807,4,AFG: PAK,
2016,15775,14410,21671,4,AFG: PAK,
2017,16173,15398,17678,4,AFG: PAK,
2018,22837,21486,24780,4,AFG: PAK,
2019,28828,26973,33289,4,AFG,
2020,20104,18641,21314,4,AFG,
2021,34794,33327,37714,4,AFG,
1996,941,935,1141,3,AFG,
1997,6396,4244,8281,3,AFG,
1998,6256,6168,7698,3,AFG,
1999,4629,4594,4945,3,AFG,
2000,5235,4053,5511,3,AFG,
2001,2328,2217,7657,4,AFG,
1991,45,45,45,3,IRN: IRQ,
1993,76,76,152,3,IRN: IRQ: ITA: PAK,
1997,38,38,42,3,IRN: IRQ,
1999,28,28,35,3,IRN: IRQ,
2000,40,40,77,3,IRN: IRQ,
2001,119,119,149,3,IRN: IRQ,
2005,28,28,37,3,IRN,
2006,31,26,68,3,IRN: IRQ,
