year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,
2018,147,147,155,4,AFG: PAK,
2019,148,148,153,3,PAK,
2020,186,186,186,3,PAK,
2021,259,257,273,3,AFG: PAK,
1996,56,56,57,2,CMR,
1995,34,34,34,3,NER,
1997,56,56,78,3,Comoros,
1993,53,53,53,3,COG,
1998,101,101,123,4,COG,
1997,10000,10000,20000,4,COG: COD ,
1997,33,33,33,4,COG,
1998,155,155,337,4,COG,
1999,117,117,1007,4,COG,
1998,3016,3016,3016,4,COG,
1999,509,509,509,4,COG,
2002,167,167,171,4,COG,
2016,73,73,73,3,COG,
1998,1000,218,1980,2,ERI: ETH,
1999,47192,47192,47192,2,ERI: ETH,
2000,50000,50000,50000,2,ERI: ETH,
2016,25,25,200,2,ERI,
1998,505,501,702,4,GNB,
1999,199,154,225,4,GNB,
1998,78,78,78,4,Lesotho,
1998,1235,379,2016,3,SRB ,
1999,1404,1349,3074,4,ALB: SRB ,
1989,25,25,150,3,ETH,
1990,80,80,3036,3,ETH,
1991,700,700,1330,3,ETH,
1992,165,165,275,3,ETH,
1994,25,25,42,3,ETH,
1995,25,1,402,3,ETH,
1998,25,25,25,3,ETH,
1999,683,372,2914,3,ETH: KEN,
2000,25,25,608,3,ETH,
2001,25,10,876,3,ETH: KEN,
2002,25,25,1434,3,ETH,
2003,25,25,76,3,ETH,
2004,25,0,167,3,ETH,
2005,25,0,75,3,ETH,
2006,25,0,202,3,ETH,
2007,25,0,361,3,ETH,
2008,25,25,175,3,ETH,
2009,42,42,97,3,ETH,
2010,25,25,128,3,ETH,
2011,25,0,174,3,ETH,
2012,25,25,162,3,ETH,
2013,25,25,93,3,ETH,
2015,25,25,110,3,ETH: KEN,
2016,25,5,292,3,ETH,
1999,85,85,125,3,RUS ,
1999,67,64,76,3,KGZ: TJK,
2000,471,410,482,4,KGZ: UZB,
2004,37,19,50,3,UZB,
2001,195,195,295,4,CAF,
2002,131,129,184,3,CAF,
2006,46,44,168,4,CAF,
2012,45,45,45,4,CAF,
2013,114,112,162,4,CAF,
2009,28,28,71,3,CAF,
2010,25,25,105,3,CAF,
2011,44,44,79,3,CAF,
2001,72,72,233,3,MKD: FYR: SRB ,
2001,1583,1538,2032,4,AFG: PAK: USA,
2002,878,864,1298,4,AFG: PAK,
2003,65,65,91,4,AFG: PAK: TUR,
2004,378,378,952,4,AFG: PAK: SAU,
2005,108,107,289,4,AFG: PAK: SAU,
2006,246,246,382,4,AFG: PAK: SAU,
2007,174,149,225,4,AFG: PAK: SAU: SOM,
2008,290,285,377,4,AFG: PAK: SOM: YEM ,
2009,450,416,688,4,AFG: PAK: SOM,
2010,313,286,891,4,AFG: PAK,
2011,203,203,317,4,AFG: PAK: SOM,
2012,225,223,313,4,AFG: PAK: SOM,
2013,38,35,39,4,AFG: PAK: SOM,
2014,132,123,144,4,AFG: PAK: SYR,
2015,87,81,102,4,AFG: PAK: SYR,
2016,117,117,146,4,AFG: PAK,
2017,111,100,194,4,AFG: PAK: SYR,
2019,37,34,56,4,AFG,
2002,543,542,580,3,CIV,
2002,81,23,81,3,CIV,
2003,95,95,460,3,CIV,
2003,44,44,59,3,CIV,
2004,47,47,48,3,CIV,
2011,48,42,129,3,CIV,
2003,7927,7927,13814,2,IRQ,
1989,72,72,80,3,IND,
1990,25,25,25,3,IND,
1994,36,36,36,3,IND,
1996,25,25,27,3,IND,
1997,34,34,34,3,BTN: IND,
1998,31,31,31,3,IND,
1999,33,33,33,3,IND,
2001,77,77,77,3,IND,
2002,44,44,44,3,IND,
2003,109,109,122,3,IND,
2004,27,27,27,3,IND,
2009,73,69,78,3,IND,
2010,57,57,86,3,IND,
1997,130,130,130,3,MMR ,
2003,26,26,27,3,THA,
2004,164,162,170,3,THA,
2005,205,202,212,3,THA,
2006,212,212,217,3,THA,
2007,197,197,206,3,THA,
2008,130,130,133,3,THA,
2009,138,135,138,3,THA,
2010,75,73,78,3,THA,
2011,143,143,149,3,THA,
2012,131,131,132,3,THA,
2013,189,188,192,3,THA,
2014,68,62,72,3,THA,
2015,57,56,57,3,THA,
2016,50,49,50,3,THA,
2017,43,43,43,3,THA,
2018,36,27,36,3,THA,
2019,55,54,55,3,THA,
2020,46,38,47,3,THA,
2021,38,30,38,3,THA,
2004,84,84,91,3,NGA,
2004,67,67,137,3,NGA,
1990,42,42,45,3,LBN,
1991,28,28,31,3,LBN,
1992,87,87,120,3,ARG: ISR: LBN,
1993,124,124,186,3,ISR: LBN,
1994,82,71,120,3,LBN,
1995,74,71,85,3,ISR: LBN,
1996,95,93,103,3,ISR: LBN,
1997,82,82,90,3,LBN,
1998,54,54,56,3,LBN,
1999,41,41,42,3,LBN,
2006,807,805,1108,3,ISR: LBN,
2007,116,116,116,3,COD ,
2008,250,250,293,3,COD ,
2017,86,86,90,4,COD ,
2020,64,60,64,4,COD ,
1991,40,40,150,3,NER,
1992,29,29,29,3,NER,
1997,62,62,62,3,NER,
2007,81,81,97,3,NER,
2008,47,47,104,3,NER,
2007,30,30,56,3,RUS ,
2008,404,279,453,3,RUS ,
2009,696,551,779,3,RUS ,
2010,418,409,634,3,RUS ,
2011,359,358,518,3,RUS : TUR,
2012,516,514,723,3,RUS ,
2013,321,286,535,3,RUS ,
2014,173,173,301,3,RUS ,
2015,30,23,33,3,RUS : SYR,
2008,25,25,25,3,IND,
2008,35,35,44,2,DJI,
2009,80,80,270,3,CHN: MMR ,
2014,67,7,107,3,MMR ,
2015,309,307,2448,3,CHN: MMR ,
2017,35,35,49,3,MMR ,
2021,71,71,337,3,MMR ,
2010,66,66,200,3,TJK,
2011,28,21,30,3,TJK,
2010,29,27,41,4,MLI: MRT,
