Entity,Code,Year,GDP per capita growth (annual %)
Maldives,MDV,2000,1.6625640392303467
Maldives,MDV,2001,-6.262938499450684
Maldives,MDV,2002,4.396568298339844
Maldives,MDV,2003,10.557182312011719
Maldives,MDV,2004,3.1095776557922363
Maldives,MDV,2005,-15.395661354064941
Maldives,MDV,2006,23.075088500976562
Maldives,MDV,2007,5.2447896003723145
Maldives,MDV,2008,6.847085952758789
Maldives,MDV,2009,-9.839048385620117
Maldives,MDV,2010,3.6462178230285645
Maldives,MDV,2011,4.354381084442139
Maldives,MDV,2012,-1.8023594617843628
Maldives,MDV,2013,2.541358470916748
Maldives,MDV,2014,2.536754846572876
Maldives,MDV,2015,-1.6151832342147827
Maldives,MDV,2016,1.7334868907928467
Maldives,MDV,2017,2.6975295543670654
Maldives,MDV,2018,4.075409412384033
Maldives,MDV,2019,3.8132011890411377
Maldives,MDV,2020,-34.67909622192383
Mongolia,MNG,1982,5.645233631134033
Mongolia,MNG,1983,3.193605899810791
Mongolia,MNG,1984,3.2229323387145996
Mongolia,MNG,1985,2.9186348915100098
Mongolia,MNG,1986,6.363009929656982
Mongolia,MNG,1987,0.5565059781074524
Mongolia,MNG,1988,2.2732832431793213
Mongolia,MNG,1989,1.6822068691253662
Mongolia,MNG,1990,-5.096445560455322
Mongolia,MNG,1991,-10.084146499633789
Mongolia,MNG,1992,-10.29098892211914
Mongolia,MNG,1993,-4.011702060699463
Mongolia,MNG,1994,1.3605176210403442
Mongolia,MNG,1995,5.564398288726807
Mongolia,MNG,1996,1.4162672758102417
Mongolia,MNG,1997,3.0438754558563232
Mongolia,MNG,1998,2.4659414291381836
Mongolia,MNG,1999,2.178522825241089
Mongolia,MNG,2000,0.2521067261695862
Mongolia,MNG,2001,2.0090885162353516
Mongolia,MNG,2002,3.7184674739837646
Mongolia,MNG,2003,5.899204730987549
Mongolia,MNG,2004,9.401052474975586
Mongolia,MNG,2005,5.978599548339844
Mongolia,MNG,2006,7.1806440353393555
Mongolia,MNG,2007,8.761859893798828
Mongolia,MNG,2008,7.324727535247803
Mongolia,MNG,2009,-2.815596103668213
Mongolia,MNG,2010,4.562050819396973
Mongolia,MNG,2011,15.154624938964844
Mongolia,MNG,2012,10.159032821655273
Mongolia,MNG,2013,9.437272071838379
Mongolia,MNG,2014,5.744922161102295
Mongolia,MNG,2015,0.3884633779525757
Mongolia,MNG,2016,-0.4336799085140228
Mongolia,MNG,2017,3.6885337829589844
Mongolia,MNG,2018,5.827151298522949
Mongolia,MNG,2019,3.8029401302337646
Mongolia,MNG,2020,-6.104430675506592
Myanmar,MMR,1962,0.0932147353887558
Myanmar,MMR,1963,6.462893009185791
Myanmar,MMR,1964,0.8666043877601624
Myanmar,MMR,1965,-0.1328735202550888
Myanmar,MMR,1966,0.19420477747917175
Myanmar,MMR,1967,-7.557823181152344
