Entity,Code,Year,3_0_Energy_intensity
Malaysia,MYS,2002,1.5444456641054154
Malaysia,MYS,2003,1.5638901717891696
Malaysia,MYS,2004,1.5777789923162462
Malaysia,MYS,2005,1.6250012735090258
Malaysia,MYS,2006,1.5472235076837542
Malaysia,MYS,2007,1.5527790623855593
Malaysia,MYS,2008,1.5694457264909745
Malaysia,MYS,2009,1.5055567811927797
Malaysia,MYS,2010,1.4555566564216615
Malaysia,MYS,2011,1.4416678358945847
Malaysia,MYS,2012,1.3861121564216614
Malaysia,MYS,2013,1.4944456717891694
Malaysia,MYS,2014,1.4388899923162461
Malaysia,MYS,2015,1.3111121017198564
Malaysia,MYS,2016,1.3027788358945849
Malaysia,MYS,2017,1.188889898280144
Malaysia,MYS,2018,1.2500010000000001
Malaysia,MYS,2019,1.1805565
Maldives,MDV,2000,0.48333372264909746
Maldives,MDV,2001,0.5138893066227437
Maldives,MDV,2002,0.6111116132454872
Maldives,MDV,2003,0.461111470728159
Maldives,MDV,2004,0.5750004414563179
Maldives,MDV,2005,0.6000005038418771
Maldives,MDV,2006,0.6000005038418771
Maldives,MDV,2007,0.5722226641054154
Maldives,MDV,2008,0.5611115547018052
Maldives,MDV,2009,0.6361116094036103
Maldives,MDV,2010,0.6250005000000001
Maldives,MDV,2011,0.6083338358945847
Maldives,MDV,2012,0.6666672264909745
Maldives,MDV,2013,0.6138893905963898
Maldives,MDV,2014,0.6861116679472924
Maldives,MDV,2015,0.6666672264909745
Maldives,MDV,2016,0.6861116679472924
Maldives,MDV,2017,0.6722227811927796
Maldives,MDV,2018,0.7111116641054154
Maldives,MDV,2019,0.7472228358945847
Mongolia,MNG,2000,2.5666686564216614
Mongolia,MNG,2001,2.513890952981949
Mongolia,MNG,2002,2.5694465
Mongolia,MNG,2003,2.3444462034397127
Mongolia,MNG,2004,2.1833351170873643
Mongolia,MNG,2005,2.3444462034397127
Mongolia,MNG,2006,2.4555575623855592
Mongolia,MNG,2007,2.3333350940361024
Mongolia,MNG,2008,2.1527795000000003
Mongolia,MNG,2009,2.2666684376144413
Mongolia,MNG,2010,2.255557328210831
Mongolia,MNG,2011,2.1055572188072205
Mongolia,MNG,2012,1.9472238435783389
Mongolia,MNG,2013,1.9972238358945849
Mongolia,MNG,2014,1.9055571170873644
Mongolia,MNG,2015,1.636112382912636
Mongolia,MNG,2016,1.7277791017198565
Mongolia,MNG,2017,1.6888902188072206
Mongolia,MNG,2018,1.7694458282108307
Mongolia,MNG,2019,1.9472238435783389
Myanmar,MMR,2000,2.9222246871566777
Myanmar,MMR,2001,2.563890812843323
Myanmar,MMR,2002,2.3666686871566776
Myanmar,MMR,2003,2.255557328210831
Myanmar,MMR,2004,2.0888905547018055
Myanmar,MMR,2005,1.8416681717891694
Myanmar,MMR,2006,1.647223492316246
Myanmar,MMR,2007,1.5250011564216615
Myanmar,MMR,2008,1.3305566094036103
Myanmar,MMR,2009,1.1388897735090258
Myanmar,MMR,2010,1.0194452811927797
Myanmar,MMR,2011,0.9805563320527078
Myanmar,MMR,2012,0.9972229961581232
Myanmar,MMR,2013,0.9666674452981949
